id,name,desc,keywords,ogImage
"reverse","文本反转","文本反转：在浏览器中生成 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","文本反转|reverse|text",""
"roman","罗马数字转换","罗马数字转换：在浏览器中比较 代码/文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","罗马数字转换|roman|代码/文本",""
"rot13","ROT13 编码/解码","ROT13 编码/解码：在浏览器中生成 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","rot13|编码|解码|text",""
"rsa-keys","RSA 密钥对生成","生成 RSA 密钥对并导出 PEM (SPKI/PKCS#8)","rsa|密钥对生成|keys|加密/安全",""
"safelink","Outlook Safelink 解码","从 safelinks.protection.outlook.com 还原原始 URL","outlook|safelink|解码|web",""
"slugify","Slug 生成器","将标题/文本转为 URL 友好的短链（支持大小写/分隔符配置）","slug|生成器|slugify|text",""
"sprite","图像雪碧图生成","多图合成到单张 Spritesheet，导出 PNG 与坐标 JSON","图像雪碧图生成|sprite|图像/文件",""
"sql-format","SQL 格式化","SQL 格式化：在浏览器中格式化 开发 的实用工具，快速响应、无需上传、适合开发与日常使用。","sql|格式化|format|开发",""
"string-obfuscator","字符串混淆","字符串混淆：在浏览器中格式化 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","字符串混淆|string|obfuscator|text",""
"sum","数值求和","数值求和：在浏览器中生成 Number 的实用工具，快速响应、无需上传、适合开发与日常使用。","数值求和|sum|number",""
"svg-placeholder","SVG 占位图生成","SVG 占位图生成：在浏览器中校验 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","svg|占位图生成|placeholder|web",""
"swap-csv-columns","CSV 列互换","CSV 列互换：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|列互换|swap|columns",""
"temperature","温度转换","温度转换：在浏览器中生成 单位换算 的实用工具，快速响应、无需上传、适合开发与日常使用。","温度转换|temperature|单位换算",""
"text-binary","Text → ASCII Binary","Text → ASCII Binary：在浏览器中格式化 文本/编码 的实用工具，快速响应、无需上传、适合开发与日常使用。","text|→|ascii|binary|文本/编码",""
"text-case","文本大小写转换","upper/lower/title/snake/kebab/camel","文本大小写转换|text|case",""
"text-diff","文本差异/合并","文本差异/合并：在浏览器中格式化 文本 的实用工具，快速响应、无需上传、适合开发与日常使用。","文本差异|合并|text|diff|文本",""
"text-stats","文本统计","文本统计：在浏览器中比较 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","文本统计|text|stats",""
"text-unicode","Text → Unicode","Text → Unicode：在浏览器中校验 文本/编码 的实用工具，快速响应、无需上传、适合开发与日常使用。","text|→|unicode|文本/编码",""
"time-between-dates","两日期间隔","两日期间隔：在浏览器中格式化 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","两日期间隔|time|between|dates",""
